country,region_id,authority_id,auth_name_e,old_park_id,new_park_id
England,E12000002,E06000009,Blackpool,BLACK_2dea70d85ea7,f99e9439c78e
England,E12000002,E06000009,Blackpool,BLACK_0526edc42be8,00bf5573ab59
England,E12000002,E06000009,Blackpool,BLACK_4f59974bacdc;BLACK_f5fa29e4c00f,251680ca31be
England,E12000002,E06000009,Blackpool,BLACK_32f8d659248f,f6fbbec33937
England,E12000002,E06000009,Blackpool,BLACK_bd4e975d56d1;BLACK_75625a965f45,6e899070b035
England,E12000002,E06000009,Blackpool,BLACK_279a0a7dce7c;BLACK_402005f386c0,26fee7445757
England,E12000002,E06000009,Blackpool,BLACK_14b2a90d2586,b15a17ffb86b
England,E12000002,E06000009,Blackpool,BLACK_6edecd760a44;BLACK_81fafbc0f8de,c1f48b6f7c2b
England,E12000002,E06000009,Blackpool,BLACK_5ce40f9215be,3c98aadc8d4c
England,E12000002,E06000009,Blackpool,BLACK_ad142ec127aa;BLACK_7f2ff8794bb9,c8b427f8ae98
England,E12000002,E06000009,Blackpool,BLACK_0f666008cdb5,6ec6bf281b73
England,E12000002,E06000009,Blackpool,BLACK_528da7abf271;BLACK_45d378d95765,5cd04a3a3f0d
England,E12000002,E06000009,Blackpool,BLACK_b7b7864af7df,c2428fca725b
England,E12000002,E06000009,Blackpool,BLACK_32a039412ab4,17e509d3edb5
England,E12000002,E06000009,Blackpool,BLACK_c8da198c3e67,90bfbc9b9485
England,E12000002,E06000009,Blackpool,BLACK_c979b796577d;BLACK_26b31e52e023,dd8dc9adfff4
England,E12000002,E06000009,Blackpool,BLACK_b4aea43c6c31;BLACK_06686fa6d7b6,549e426c8ec1
England,E12000002,E06000009,Blackpool,BLACK_fc1eee3ef8e2;BLACK_29a826375afe,840c5d16d930
England,E12000002,E06000009,Blackpool,BLACK_de4e547ae5ca;BLACK_5a5f018208a5,80e9ac4498c0
England,E12000002,E06000009,Blackpool,BLACK_f604a2241763;BLACK_be2c7fac6138,6062e126676a
England,E12000002,E06000009,Blackpool,BLACK_60165f0ff59a;BLACK_26d8feb9c48e,596084dc4418
